Code,Name,LHD/RHD,Brand,Year,Photo,Release
MGT00549,Nissan Silvia (S15) Rocket Bunny Red w/ Carbon Bonnet,,Nissan,,,August2023
MGT00550,Oracle Red Bull Racing RB18 #1 - Max Verstappen 2022 Monaco Grand Prix 3rd Place,,Red Bull Racing,,,February2024
MGT00551,Oracle Red Bull Racing RB18 #11 Sergio Perez 2022 Monaco Grand Prix Winner,,Red Bull Racing,,,February2024
MGT00552,Lamborghini Huracán GT3 EVO #19 GEAR Racing,LHD,Lamborghini,,,August2023
MGT00553,BMW M4 GT3 #31 Schubert Motorsport 2022 DTM Champion,LHD,BMW,,,September2023
MGT00554,Honda S2000 (AP2) CR Apex Blue,LHD,Honda,,,August2023
MGT00555,McLaren F1 Magnesium Silver,LHD,McLaren,,,November2023
MGT00556,RUF CTR 1987 Black,LHD,RUF,,,September2023
MGT00557,BMW Alpina B7 xDrive Alpina White,,BMW,,,August2023
MGT00558,Land Rover Defender 110 1991 Safari Rally Martini Racing Support Vehicle,LHD,Land Rover,,,October2023
MGT00559,Mercedes-Benz EQS 580 4MATIC Nautical Blue Metallic,,Mercedes-Benz,,,December2023
MGT00560,Porsche 911 1964 Irish Green,,Porsche,,,December2023
MGT00561,Lincoln Capri 1954 Premier Yellow,LHD,Lincoln,,,October2023
MGT00562,RUF CTR Anniversary Bayrisch Himmelblau,LHD,RUF,,,September2023
MGT00563,Lamborghini Aventador SVJ New Giallo Orion,,Lamborghini,,,November2023
MGT00564,Subaru Impreza WRC98 1999 Rally Tour de Corse #22,LHD,Subaru,,,December2023
MGT00565,Porsche 911 (992) GT3 Racing Yellow,,Porsche,,,December2023
MGT00566,BMW M4 Competition (G82) Toronto Red Metallic,,BMW,,,October2023
MGT00567,Lamborghini Countach LPI 800-4 Bianco Siderale,LHD,Lamborghini,,,November2023
MGT00568,Shelby GT500 Dragon Snake Concept Ford Performance Blue,LHD,Shelby,,,October2023
MGT00569,Bugatti Chiron Pur Sport White,LHD,Bugatti,,,November2023
MGT00570,Nissan Skyline GT-R (R34) V-Spec Black Pearl,RHD,Nissan,,,November2023
MGT00571,amborghini Huracán GT3 EVO #87 JLOC 2022 Super GT Series,LHD,Lamborghini,,,November2023
MGT00572,amborghini Huracán GT3 EVO #88 JLOC 2022 Super GT Series,LHD,Lamborghini,,,November2023
MGT00573,Lamborghini Sián FKP 37 Blue Aegir,LHD,Lamborghini,,,December2023
MGT00574,Audi ABT RS6-R Navarra Blue Metallic,LHD,Audi,,,January2024
MGT00575,Shelby GT500 Dragon Snake Concept Black,LHD,Shelby,,,October2023
MGT00576,LB-Super Silhouette S15 Silvia Formula Drift Japan 2022 #555 Yukio Fausto,,LB Works,,,December2023
MGT00577,LB★WORKS Nissan GT-R (R35) Gold Series,,LB Works,,LB Tokyo Store Opening / Limited to 500,August2023
MGT00578,LB★WORKS Nissan GT-R Type 2 (R35) Gold Series,,LB Works,,LB Tokyo Store Opening / Limited to 500,August2023
MGT00579,LB-Silhouette Works GT Nissan 35GT-RR Ver. 1 Gold Series,,LB Works,,LB Tokyo Store Opening / Limited to 500,August2023
MGT00580,LB-Silhouette Works GT Nissan 35GT-RR Ver. 2 Gold Series,,LB Works,,LB Tokyo Store Opening / Limited to 500,August2023
MGT00581,Nissan Silvia S15 D_MAX Metallic Orange,RHD,Nissan,,,December2023
MGT00582,McLaren Artura Ice Silver,,McLaren,,,December2023
MGT00583,Tyrell P34 #3 Jody Scheckter,,Tyrell,,,February2024
MGT00584,Tyrell P34 #4 Patrick Depailler 1976 Swedish GP 2nd Place,,Tyrell,,,February2024
MGT00585,Honda Civic Type R Crystal Black Pearl 2023 w/ ADVAN GT Wheel,,Honda,,,February2024
MGT00586,Bugatti Centodieci Blu Bugatti,LHD,Bugatti,,,February2024
MGT00587,LB★WORKS Lamborghini Aventador Limited Edition Yellow 2023 HK ToyCar Salon Exclusive,RHD,LB Works,,,September2023
MGT00588,Lamborghini Sián FKP 37 Matte Viola SE30 HK Exclusive,LHD,Lamborghini,,,September2023
MGT00589,Nissan Skyline GT-R Top Secret VR32 Metallic Blue,RHD,Top Secret,,,January2024
MGT00590,Land Rover Defender 110 1985 County Station Wagon Trident Green,,Land Rover,,,February2024
MGT00591,Lamborghini Urus 2022 Macau GP Official Safety Car,RHD,Lamborghini,,,April2024
MGT00592,Nissan Skyline GT-R (R32) Gr. A #23 1990 Macau Guia Race Winner,RHD,Nissan,,,June2024
MGT00593,Nissan GT-R NISMO GT3 #23 KCMG 2018 FIA World Cup Macau,,Nissan,,,December2024
MGT00594,Nissan GT-R Nismo GT500 SUPER GT Series 2021 #230 Prototype,LHD,Nissan,,Japan Exclusive,November2023
MGT00595,Nissan GT-R Nismo GT500 SUPER GT Series 2021 #23 MOTUL AUTECH GT-R,LHD,Nissan,,Japan Exclusive,November2023
MGT00596,Nissan Silvia (S15) LB-Super Silhouette Good-FIX,,Nissan,,,October2023
MGT00597,Western Star 49X Blue w/ 40' Reefer Container EVERGREEN,,Western Star,,,December2023
MGT00598,Nissan Fairlady Z Version ST 2023 Everest White,RHD,Nissan,,,June2024
MGT00599,Nissan Z Performance 2023 Everest White,LHD,Nissan,,,November2023
MGT00600,Aston Martin Valkyrie Aston Martin Racing Green,,Aston Martin,,,July2024
MGT00601,Bugatti Divo Blu Bugatti,LHD,Bugatti,,,January2024
MGT00602,Nissan Silvia (S15) Rocket Bunny Black Pearl,RHD,Nissan,,,January2024
MGT00603,Ford GT MK II #013 Rosso Alpha,LHD,Ford,,,January2024
MGT00604,Mercedes-Maybach S680 Champagne Metallic,,Mercedes-Benz,,,February2024
MGT00605,LB-Silhouette Works Lamborghini Aventador GT EVO Lime,,LB Works,,,April2024
MGT00606,Porsche 911 (992) GT3 Touring Black,,Porsche,,,February2024
MGT00607,Lamborghini Countach LPI 800-4 Nero Maia,LHD,Lamborghini,,,February2024
MGT00608,BMW M3 #3 JPS Team BMW 1987 ATCC Championship Winner,LHD,BMW,,,December2023
MGT00609,MW M3 #44 1987 Bathurst 1000 Class 2 Winner JPS Team BMW,LHD,BMW,,,November2023
MGT00610,Porsche 911 Targa 4S Shark Blue,,Porsche,,,December2023
MGT00611,Lincoln Capri 1954 Carrera Panamericana Class Winner #149,LHD,Lincoln,,,January2024
MGT00612,Porsche 911 Carrera RS 2.7 Grand Prix White,,Porsche,,,May2024
MGT00613,Ford GT Triple Yellow,,Ford,,,February2024
MGT00614,Ford GT Sunoco Blue,LHD,Ford,,,July2024
MGT00615,Shelby GT500 SE Widebody Pepper Grey Metallic,,Shelby,,,January2024
MGT00616,Nissan Skyline GT-R (R34) Tommykaira R-z Midnight Purple,,Tommykaira,,,April2024
MGT00617,Acura NSX GT3 EVO22 #93 WTR Racers dge Motorsports IMSA 2023 Daytona 24 Hr.,LHD,Acura,,,March2024
MGT00618,Nissan LB-Silhouette S15 Silvia #23 2022 Goodwood Festival of Speed,RHD,LB Works,,,February2024
MGT00619,BMW Alpina B7 xDrive Dravit Grey Metallic,,BMW,,,June2024
MGT00620,Nissan Z Performance 2023 Super GT Safety Car 2022 Super GT Series,,Nissan,,,February2024
MGT00621,Lincoln Capri 1954 NY Toy Fair Special,,Lincoln,,,September2023
MGT00622,Ford GT '64 Prototype Heritage Edition,,Ford,,,August2024
MGT00623,Lincoln Capri 1954,,Lincoln,,,June2024
MGT00624,Lancia Stratos HF Stradale Azzuro Chiaro,,Lancia,,,September2024
MGT00625,Lancia Stratos HF Stradale Verde Chiaro,,Lancia,,,March2024
MGT00626,Honda Civic Type R 2023 Honda Thanks Day Vietnam,,Honda,,,June2024
MGT00627,Ford Puma Rally #42,,Ford,,,August2024
MGT00628,Lancia Stratos HF Stradale,,Lancia,,,July2024
MGT00629,McLaren F1 Cobalt Blue,,McLaren,,,April2024
MGT00630,Porsche 911 (992) GT3 RS White with Pyro Red Accents Package,,Porsche,,,June2024
MGT00631,Lincoln Capri 1954 Arctic White / Atlantic Blue,LHD,Lincoln,,,August2024
